#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:90:3:101010101,101010101,1603:45:16:90:0,1603:45:16:90:1:1,1603:45:16:90:2:10101,1603:45:16:90:3:101010101,Waghina,SB0101010101,,,,South Choiseul,SB010101,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:101010102,101010102,1603:45:16:90:0,1603:45:16:90:1:1,1603:45:16:90:2:10101,1603:45:16:90:3:101010102,Katupika,SB0101010102,,,,South Choiseul,SB010101,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:101010103,101010103,1603:45:16:90:0,1603:45:16:90:1:1,1603:45:16:90:2:10101,1603:45:16:90:3:101010103,Vasiduki,SB0101010103,,,,South Choiseul,SB010101,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:101010104,101010104,1603:45:16:90:0,1603:45:16:90:1:1,1603:45:16:90:2:10101,1603:45:16:90:3:101010104,Viviru,SB0101010104,,,,South Choiseul,SB010101,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:101010105,101010105,1603:45:16:90:0,1603:45:16:90:1:1,1603:45:16:90:2:10101,1603:45:16:90:3:101010105,Babatana,SB0101010105,,,,South Choiseul,SB010101,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:101020106,101020106,1603:45:16:90:0,1603:45:16:90:1:1,1603:45:16:90:2:10102,1603:45:16:90:3:101020106,Tepakaza,SB0101020106,,,,North West Choiseul,SB010102,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:101020107,101020107,1603:45:16:90:0,1603:45:16:90:1:1,1603:45:16:90:2:10102,1603:45:16:90:3:101020107,Batava,SB0101020107,,,,North West Choiseul,SB010102,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:101020108,101020108,1603:45:16:90:0,1603:45:16:90:1:1,1603:45:16:90:2:10102,1603:45:16:90:3:101020108,Tavula,SB0101020108,,,,North West Choiseul,SB010102,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:101020109,101020109,1603:45:16:90:0,1603:45:16:90:1:1,1603:45:16:90:2:10102,1603:45:16:90:3:101020109,Polo,SB0101020109,,,,North West Choiseul,SB010102,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:101020110,101020110,1603:45:16:90:0,1603:45:16:90:1:1,1603:45:16:90:2:10102,1603:45:16:90:3:101020110,Bangara,SB0101020110,,,,North West Choiseul,SB010102,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:101030111,101030111,1603:45:16:90:0,1603:45:16:90:1:1,1603:45:16:90:2:10103,1603:45:16:90:3:101030111,Susuka,SB0101030111,,,,East Choiseul,SB010103,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:101030112,101030112,1603:45:16:90:0,1603:45:16:90:1:1,1603:45:16:90:2:10103,1603:45:16:90:3:101030112,Senga,SB0101030112,,,,East Choiseul,SB010103,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:101030113,101030113,1603:45:16:90:0,1603:45:16:90:1:1,1603:45:16:90:2:10103,1603:45:16:90:3:101030113,Kerepangara,SB0101030113,,,,East Choiseul,SB010103,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:101030114,101030114,1603:45:16:90:0,1603:45:16:90:1:1,1603:45:16:90:2:10103,1603:45:16:90:3:101030114,Kirugela,SB0101030114,,,,East Choiseul,SB010103,Choiseul,SB01,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:202040201,202040201,1603:45:16:90:0,1603:45:16:90:1:2,1603:45:16:90:2:20204,1603:45:16:90:3:202040201,Outer Shortlands,SB0202040201,,,,Shortland Islands,SB020204,Western,SB02,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:202040202,202040202,1603:45:16:90:0,1603:45:16:90:1:2,1603:45:16:90:2:20204,1603:45:16:90:3:202040202,Inner Shortlands,SB0202040202,,,,Shortland Islands,SB020204,Western,SB02,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:202050209,202050209,1603:45:16:90:0,1603:45:16:90:1:2,1603:45:16:90:2:20205,1603:45:16:90:3:202050209,Dovele,SB0202050209,,,,North Vella la Vella,SB020205,Western,SB02,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:202050210,202050210,1603:45:16:90:0,1603:45:16:90:1:2,1603:45:16:90:2:20205,1603:45:16:90:3:202050210,Iringgila,SB0202050210,,,,North Vella la Vella,SB020205,Western,SB02,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:202060207,202060207,1603:45:16:90:0,1603:45:16:90:1:2,1603:45:16:90:2:20206,1603:45:16:90:3:202060207,Vonunu,SB0202060207,,,,South Vella la Vella,SB020206,Western,SB02,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:202070203,202070203,1603:45:16:90:0,1603:45:16:90:1:2,1603:45:16:90:2:20207,1603:45:16:90:3:202070203,Simbo,SB0202070203,,,,Ranongga-Simbo,SB020207,Western,SB02,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:202070204,202070204,1603:45:16:90:0,1603:45:16:90:1:2,1603:45:16:90:2:20207,1603:45:16:90:3:202070204,North Ranongga,SB0202070204,,,,Ranongga-Simbo,SB020207,Western,SB02,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:202070205,202070205,1603:45:16:90:0,1603:45:16:90:1:2,1603:45:16:90:2:20207,1603:45:16:90:3:202070205,Central Ranongga,SB0202070205,,,,Ranongga-Simbo,SB020207,Western,SB02,Solomon Islands,SB,2018-01-12,2021-09-29,
1603:45:16:90:3:202070206,202070206,1603:45:16:90:0,1603:45:16:90:1:2,1603:45:16:90:2:20207,1603:45:16:90:3:202070206,South Ranongga,SB0202070206,,,,Ranongga-Simbo,SB020207,Western,SB02,Solomon Islands,SB,2018-01-12,2021-09-29,
