#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:262:2:101,101,1603:45:16:262:0,1603:45:16:262:1:1,1603:45:16:262:2:101,Alaili Dadda,DJ0101,,,,Obock,DJ01,Djibouti,DJ,2018-10-26,2020-02-20,
1603:45:16:262:2:102,102,1603:45:16:262:0,1603:45:16:262:1:1,1603:45:16:262:2:102,Obock,DJ0102,,,,Obock,DJ01,Djibouti,DJ,2018-10-26,2020-02-20,
1603:45:16:262:2:201,201,1603:45:16:262:0,1603:45:16:262:1:2,1603:45:16:262:2:201,Dorra,DJ0201,,,,Tadjourah,DJ02,Djibouti,DJ,2018-10-26,2020-02-20,
1603:45:16:262:2:202,202,1603:45:16:262:0,1603:45:16:262:1:2,1603:45:16:262:2:202,Randa,DJ0202,,,,Tadjourah,DJ02,Djibouti,DJ,2018-10-26,2020-02-20,
1603:45:16:262:2:203,203,1603:45:16:262:0,1603:45:16:262:1:2,1603:45:16:262:2:203,Balha,DJ0203,,,,Tadjourah,DJ02,Djibouti,DJ,2018-10-26,2020-02-20,
1603:45:16:262:2:204,204,1603:45:16:262:0,1603:45:16:262:1:2,1603:45:16:262:2:204,Tadjourah,DJ0204,,,,Tadjourah,DJ02,Djibouti,DJ,2018-10-26,2020-02-20,
1603:45:16:262:2:301,301,1603:45:16:262:0,1603:45:16:262:1:3,1603:45:16:262:2:301,YobokiI,DJ0301,,,,Dilkhil,DJ03,Djibouti,DJ,2018-10-26,2020-02-20,
1603:45:16:262:2:302,302,1603:45:16:262:0,1603:45:16:262:1:3,1603:45:16:262:2:302,Dilkhil,DJ0302,,,,Dilkhil,DJ03,Djibouti,DJ,2018-10-26,2020-02-20,
1603:45:16:262:2:303,303,1603:45:16:262:0,1603:45:16:262:1:3,1603:45:16:262:2:303,As Eyla,DJ0303,,,,Dilkhil,DJ03,Djibouti,DJ,2018-10-26,2020-02-20,
1603:45:16:262:2:401,401,1603:45:16:262:0,1603:45:16:262:1:4,1603:45:16:262:2:401,Djibouti,DJ0401,,,,Djibouti,DJ04,Djibouti,DJ,2018-10-26,2020-02-20,
1603:45:16:262:2:501,501,1603:45:16:262:0,1603:45:16:262:1:5,1603:45:16:262:2:501,Ali Sabeh,DJ0501,,,,Ali Sabeh,DJ05,Djibouti,DJ,2018-10-26,2020-02-20,
