#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:854:1:13,13,Centre,BF13,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:46,46,Boucle du Mouhoun,BF46,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:47,47,Cascades,BF47,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:48,48,Centre-Est,BF48,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:49,49,Centre-Nord,BF49,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:50,50,Centre-Ouest,BF50,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:51,51,Centre-Sud,BF51,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:52,52,Est,BF52,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:53,53,Hauts-Bassins,BF53,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:54,54,Nord,BF54,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:55,55,Plateau-Central,BF55,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:56,56,Sahel,BF56,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:57,57,Sud-Ouest,BF57,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
