#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:854:1:13,13,1603:45:16:854:0,1603:45:16:854:1:13,Centre,BF13,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:46,46,1603:45:16:854:0,1603:45:16:854:1:46,Boucle du Mouhoun,BF46,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:47,47,1603:45:16:854:0,1603:45:16:854:1:47,Cascades,BF47,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:48,48,1603:45:16:854:0,1603:45:16:854:1:48,Centre-Est,BF48,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:49,49,1603:45:16:854:0,1603:45:16:854:1:49,Centre-Nord,BF49,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:50,50,1603:45:16:854:0,1603:45:16:854:1:50,Centre-Ouest,BF50,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:51,51,1603:45:16:854:0,1603:45:16:854:1:51,Centre-Sud,BF51,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:52,52,1603:45:16:854:0,1603:45:16:854:1:52,Est,BF52,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:53,53,1603:45:16:854:0,1603:45:16:854:1:53,Hauts-Bassins,BF53,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:54,54,1603:45:16:854:0,1603:45:16:854:1:54,Nord,BF54,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:55,55,1603:45:16:854:0,1603:45:16:854:1:55,Plateau-Central,BF55,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:56,56,1603:45:16:854:0,1603:45:16:854:1:56,Sahel,BF56,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:57,57,1603:45:16:854:0,1603:45:16:854:1:57,Sud-Ouest,BF57,,,,Burkina Faso,BF,2020-03-26,2020-03-26,
