qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:854:1:13,13,1603:45:16:854:0,1603:45:16:854:1:13,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:46,46,1603:45:16:854:0,1603:45:16:854:1:46,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:47,47,1603:45:16:854:0,1603:45:16:854:1:47,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:48,48,1603:45:16:854:0,1603:45:16:854:1:48,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:49,49,1603:45:16:854:0,1603:45:16:854:1:49,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:50,50,1603:45:16:854:0,1603:45:16:854:1:50,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:51,51,1603:45:16:854:0,1603:45:16:854:1:51,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:52,52,1603:45:16:854:0,1603:45:16:854:1:52,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:53,53,1603:45:16:854:0,1603:45:16:854:1:53,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:54,54,1603:45:16:854:0,1603:45:16:854:1:54,Nord,BF54,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:55,55,1603:45:16:854:0,1603:45:16:854:1:55,Plateau-Central,BF55,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:56,56,1603:45:16:854:0,1603:45:16:854:1:56,Sahel,BF56,Burkina Faso,BF,2020-03-26,2020-03-26,
1603:45:16:854:1:57,57,1603:45:16:854:0,1603:45:16:854:1:57,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-26,2020-03-26,
