#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5001+ix_alt0,#item+rem+i_kir+is_zyyy+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_kir+is_zyyy+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_kir+is_zyyy+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_kir+is_zyyy+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:417:1:2000000000,2000000000,1603:45:16:417:0,1603:45:16:417:1:2000000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
1603:45:16:417:1:3000000000,3000000000,1603:45:16:417:0,1603:45:16:417:1:3000000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
1603:45:16:417:1:4000000000,4000000000,1603:45:16:417:0,1603:45:16:417:1:4000000000,Naryn,Нарынская,Нарын,KG04000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
1603:45:16:417:1:5000000000,5000000000,1603:45:16:417:0,1603:45:16:417:1:5000000000,Batken,Баткенская,Баткен,KG05000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
1603:45:16:417:1:6000000000,6000000000,1603:45:16:417:0,1603:45:16:417:1:6000000000,Osh,Ошская,Ош,KG06000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
1603:45:16:417:1:7000000000,7000000000,1603:45:16:417:0,1603:45:16:417:1:7000000000,Talas,Таласская,Талас,KG07000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
1603:45:16:417:1:8000000000,8000000000,1603:45:16:417:0,1603:45:16:417:1:8000000000,Chui,Чуйская,Чүй,KG08000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
1603:45:16:417:1:11000000000,11000000000,1603:45:16:417:0,1603:45:16:417:1:11000000000,Bishkek (city),г.Бишкек,Бишкек ш.,KG11000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
1603:45:16:417:1:21000000000,21000000000,1603:45:16:417:0,1603:45:16:417:1:21000000000,Osh (city),г.Ош,Ош ш.,KG21000000000,,,,,,,,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-11-21,2021-02-11,
