#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+ERROR+adm1+code+v_pcode,#meta+ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:598:1:1,1,1603:45:16:598:0,1603:45:16:598:1:1,Western Province,PG01,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:2,2,1603:45:16:598:0,1603:45:16:598:1:2,Gulf Province,PG02,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:3,3,1603:45:16:598:0,1603:45:16:598:1:3,Central Province,PG03,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:4,4,1603:45:16:598:0,1603:45:16:598:1:4,National Capital District,PG04,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:5,5,1603:45:16:598:0,1603:45:16:598:1:5,Milne Bay Province,PG05,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:6,6,1603:45:16:598:0,1603:45:16:598:1:6,Northern (Oro) Province,PG06,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:7,7,1603:45:16:598:0,1603:45:16:598:1:7,Southern Highlands Province,PG07,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:8,8,1603:45:16:598:0,1603:45:16:598:1:8,Enga Province,PG08,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:9,9,1603:45:16:598:0,1603:45:16:598:1:9,Western Highlands Province,PG09,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:10,10,1603:45:16:598:0,1603:45:16:598:1:10,Chimbu (Simbu) Province,PG10,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:11,11,1603:45:16:598:0,1603:45:16:598:1:11,Eastern Highlands Province,PG11,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:12,12,1603:45:16:598:0,1603:45:16:598:1:12,Morobe Province,PG12,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:13,13,1603:45:16:598:0,1603:45:16:598:1:13,Madang Province,PG13,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:14,14,1603:45:16:598:0,1603:45:16:598:1:14,East Sepik Province,PG14,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:15,15,1603:45:16:598:0,1603:45:16:598:1:15,West Sepik (Sandaun) Province,PG15,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:16,16,1603:45:16:598:0,1603:45:16:598:1:16,Manus Province,PG16,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:17,17,1603:45:16:598:0,1603:45:16:598:1:17,New Ireland Province,PG17,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:18,18,1603:45:16:598:0,1603:45:16:598:1:18,East New Britain Province,PG18,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:19,19,1603:45:16:598:0,1603:45:16:598:1:19,West New Britain Province,PG19,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:20,20,1603:45:16:598:0,1603:45:16:598:1:20,Autonomous Region of Bougainville,PG20,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:21,21,1603:45:16:598:0,1603:45:16:598:1:21,Hela Province,PG21,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:22,22,1603:45:16:598:0,1603:45:16:598:1:22,Jiwaka Province,PG22,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
