#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:598:1:1,1,Western Province,PG01,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:2,2,Gulf Province,PG02,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:3,3,Central Province,PG03,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:4,4,National Capital District,PG04,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:5,5,Milne Bay Province,PG05,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:6,6,Northern (Oro) Province,PG06,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:7,7,Southern Highlands Province,PG07,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:8,8,Enga Province,PG08,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:9,9,Western Highlands Province,PG09,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:10,10,Chimbu (Simbu) Province,PG10,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:11,11,Eastern Highlands Province,PG11,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:12,12,Morobe Province,PG12,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:13,13,Madang Province,PG13,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:14,14,East Sepik Province,PG14,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:15,15,West Sepik (Sandaun) Province,PG15,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:16,16,Manus Province,PG16,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:17,17,New Ireland Province,PG17,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:18,18,East New Britain Province,PG18,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:19,19,West New Britain Province,PG19,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:20,20,Autonomous Region of Bougainville,PG20,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:21,21,Hela Province,PG21,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
1603:45:16:598:1:22,22,Jiwaka Province,PG22,,,,Papua New Guinea,PG,2019-05-10,2019-05-10,
