#x_pattern,#x_substitution,#x_tag
4,AF,item+conceptum+codicem+numeralem
8,AL,item+conceptum+codicem+numeralem
10,AQ,item+conceptum+codicem+numeralem
12,DZ,item+conceptum+codicem+numeralem
16,AS,item+conceptum+codicem+numeralem
20,AD,item+conceptum+codicem+numeralem
24,AO,item+conceptum+codicem+numeralem
28,AG,item+conceptum+codicem+numeralem
31,AZ,item+conceptum+codicem+numeralem
32,AR,item+conceptum+codicem+numeralem
36,AU,item+conceptum+codicem+numeralem
40,AT,item+conceptum+codicem+numeralem
44,BS,item+conceptum+codicem+numeralem
48,BH,item+conceptum+codicem+numeralem
50,BD,item+conceptum+codicem+numeralem
51,AM,item+conceptum+codicem+numeralem
52,BB,item+conceptum+codicem+numeralem
56,BE,item+conceptum+codicem+numeralem
60,BM,item+conceptum+codicem+numeralem
64,BT,item+conceptum+codicem+numeralem
68,BO,item+conceptum+codicem+numeralem
70,BA,item+conceptum+codicem+numeralem
72,BW,item+conceptum+codicem+numeralem
74,BV,item+conceptum+codicem+numeralem
76,BR,item+conceptum+codicem+numeralem
84,BZ,item+conceptum+codicem+numeralem
86,IO,item+conceptum+codicem+numeralem
90,SB,item+conceptum+codicem+numeralem
92,VG,item+conceptum+codicem+numeralem
96,BN,item+conceptum+codicem+numeralem
100,BG,item+conceptum+codicem+numeralem
104,MM,item+conceptum+codicem+numeralem
108,BI,item+conceptum+codicem+numeralem
112,BY,item+conceptum+codicem+numeralem
116,KH,item+conceptum+codicem+numeralem
120,CM,item+conceptum+codicem+numeralem
124,CA,item+conceptum+codicem+numeralem
132,CV,item+conceptum+codicem+numeralem
136,KY,item+conceptum+codicem+numeralem
140,CF,item+conceptum+codicem+numeralem
144,LK,item+conceptum+codicem+numeralem
148,TD,item+conceptum+codicem+numeralem
152,CL,item+conceptum+codicem+numeralem
156,CN,item+conceptum+codicem+numeralem
158,TW,item+conceptum+codicem+numeralem
162,CX,item+conceptum+codicem+numeralem
166,CC,item+conceptum+codicem+numeralem
170,CO,item+conceptum+codicem+numeralem
174,KM,item+conceptum+codicem+numeralem
175,YT,item+conceptum+codicem+numeralem
178,CG,item+conceptum+codicem+numeralem
180,CD,item+conceptum+codicem+numeralem
184,CK,item+conceptum+codicem+numeralem
188,CR,item+conceptum+codicem+numeralem
191,HR,item+conceptum+codicem+numeralem
192,CU,item+conceptum+codicem+numeralem
196,CY,item+conceptum+codicem+numeralem
203,CZ,item+conceptum+codicem+numeralem
204,BJ,item+conceptum+codicem+numeralem
208,DK,item+conceptum+codicem+numeralem
212,DM,item+conceptum+codicem+numeralem
214,DO,item+conceptum+codicem+numeralem
218,EC,item+conceptum+codicem+numeralem
222,SV,item+conceptum+codicem+numeralem
226,GQ,item+conceptum+codicem+numeralem
231,ET,item+conceptum+codicem+numeralem
232,ER,item+conceptum+codicem+numeralem
233,EE,item+conceptum+codicem+numeralem
234,FO,item+conceptum+codicem+numeralem
238,FK,item+conceptum+codicem+numeralem
239,GS,item+conceptum+codicem+numeralem
242,FJ,item+conceptum+codicem+numeralem
246,FI,item+conceptum+codicem+numeralem
248,AX,item+conceptum+codicem+numeralem
250,FR,item+conceptum+codicem+numeralem
254,GF,item+conceptum+codicem+numeralem
258,PF,item+conceptum+codicem+numeralem
260,TF,item+conceptum+codicem+numeralem
262,DJ,item+conceptum+codicem+numeralem
266,GA,item+conceptum+codicem+numeralem
268,GE,item+conceptum+codicem+numeralem
270,GM,item+conceptum+codicem+numeralem
275,PS,item+conceptum+codicem+numeralem
276,DE,item+conceptum+codicem+numeralem
288,GH,item+conceptum+codicem+numeralem
292,GI,item+conceptum+codicem+numeralem
296,KI,item+conceptum+codicem+numeralem
300,GR,item+conceptum+codicem+numeralem
304,GL,item+conceptum+codicem+numeralem
308,GD,item+conceptum+codicem+numeralem
312,GP,item+conceptum+codicem+numeralem
316,GU,item+conceptum+codicem+numeralem
320,GT,item+conceptum+codicem+numeralem
324,GN,item+conceptum+codicem+numeralem
328,GY,item+conceptum+codicem+numeralem
332,HT,item+conceptum+codicem+numeralem
334,HM,item+conceptum+codicem+numeralem
336,VA,item+conceptum+codicem+numeralem
340,HN,item+conceptum+codicem+numeralem
344,HK,item+conceptum+codicem+numeralem
348,HU,item+conceptum+codicem+numeralem
352,IS,item+conceptum+codicem+numeralem
356,IN,item+conceptum+codicem+numeralem
360,ID,item+conceptum+codicem+numeralem
364,IR,item+conceptum+codicem+numeralem
368,IQ,item+conceptum+codicem+numeralem
372,IE,item+conceptum+codicem+numeralem
376,IL,item+conceptum+codicem+numeralem
380,IT,item+conceptum+codicem+numeralem
384,CI,item+conceptum+codicem+numeralem
388,JM,item+conceptum+codicem+numeralem
392,JP,item+conceptum+codicem+numeralem
398,KZ,item+conceptum+codicem+numeralem
400,JO,item+conceptum+codicem+numeralem
404,KE,item+conceptum+codicem+numeralem
408,KP,item+conceptum+codicem+numeralem
410,KR,item+conceptum+codicem+numeralem
414,KW,item+conceptum+codicem+numeralem
417,KG,item+conceptum+codicem+numeralem
418,LA,item+conceptum+codicem+numeralem
422,LB,item+conceptum+codicem+numeralem
426,LS,item+conceptum+codicem+numeralem
428,LV,item+conceptum+codicem+numeralem
430,LR,item+conceptum+codicem+numeralem
434,LY,item+conceptum+codicem+numeralem
438,LI,item+conceptum+codicem+numeralem
440,LT,item+conceptum+codicem+numeralem
442,LU,item+conceptum+codicem+numeralem
446,MO,item+conceptum+codicem+numeralem
450,MG,item+conceptum+codicem+numeralem
454,MW,item+conceptum+codicem+numeralem
458,MY,item+conceptum+codicem+numeralem
462,MV,item+conceptum+codicem+numeralem
466,ML,item+conceptum+codicem+numeralem
470,MT,item+conceptum+codicem+numeralem
474,MQ,item+conceptum+codicem+numeralem
478,MR,item+conceptum+codicem+numeralem
480,MU,item+conceptum+codicem+numeralem
484,MX,item+conceptum+codicem+numeralem
492,MC,item+conceptum+codicem+numeralem
496,MN,item+conceptum+codicem+numeralem
498,MD,item+conceptum+codicem+numeralem
499,ME,item+conceptum+codicem+numeralem
500,MS,item+conceptum+codicem+numeralem
504,MA,item+conceptum+codicem+numeralem
508,MZ,item+conceptum+codicem+numeralem
512,OM,item+conceptum+codicem+numeralem
516,NA,item+conceptum+codicem+numeralem
520,NR,item+conceptum+codicem+numeralem
524,NP,item+conceptum+codicem+numeralem
528,NL,item+conceptum+codicem+numeralem
531,CW,item+conceptum+codicem+numeralem
533,AW,item+conceptum+codicem+numeralem
534,SX,item+conceptum+codicem+numeralem
535,BQ,item+conceptum+codicem+numeralem
540,NC,item+conceptum+codicem+numeralem
548,VU,item+conceptum+codicem+numeralem
554,NZ,item+conceptum+codicem+numeralem
558,NI,item+conceptum+codicem+numeralem
562,NE,item+conceptum+codicem+numeralem
566,NG,item+conceptum+codicem+numeralem
570,NU,item+conceptum+codicem+numeralem
574,NF,item+conceptum+codicem+numeralem
578,NO,item+conceptum+codicem+numeralem
580,MP,item+conceptum+codicem+numeralem
581,UM,item+conceptum+codicem+numeralem
583,FM,item+conceptum+codicem+numeralem
584,MH,item+conceptum+codicem+numeralem
585,PW,item+conceptum+codicem+numeralem
586,PK,item+conceptum+codicem+numeralem
591,PA,item+conceptum+codicem+numeralem
598,PG,item+conceptum+codicem+numeralem
