#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:312:2:101,101,Baie-Mahault,GP0101,Baie-Mahault,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:102,102,Baillif,GP0102,Baillif,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:103,103,Basse-Terre,GP0103,Basse-Terre,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:104,104,Bouillante,GP0104,Bouillante,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:105,105,Capesterre-Belle-Eau,GP0105,Capesterre-Belle-Eau,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:106,106,Deshaies,GP0106,Deshaies,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:107,107,Gourbeyre,GP0107,Gourbeyre,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:108,108,Goyave,GP0108,Goyave,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:109,109,Lamentin,GP0109,Lamentin,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:110,110,Petit-Bourg,GP0110,Petit-Bourg,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:111,111,Pointe-Noire,GP0111,Pointe-Noire,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:112,112,Saint-Claude,GP0112,Saint-Claude,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:113,113,Sainte-Rose,GP0113,Sainte-Rose,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:114,114,Terre-De-Bas,GP0114,Terre-De-Bas,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:115,115,Terre-De-Haut,GP0115,Terre-De-Haut,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:116,116,Trois-Rivières,GP0116,Trois-Rivieres,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:117,117,Vieux-Fort,GP0117,Vieux-Fort,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:118,118,Vieux-Habitants,GP0118,Vieux-Habitants,,,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:201,201,Anse-Bertrand,GP0201,Anse-Bertrand,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:202,202,Capesterre-de-Marie-Galante,GP0202,Capesterre-de-Marie-Galante,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:203,203,Grand-Bourg,GP0203,Grand-Bourg,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:204,204,La Désirade,GP0204,La Desirade,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:205,205,Le Gosier,GP0205,Le Gosier,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:206,206,Le Moule,GP0206,Le Moule,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:207,207,Les Abymes,GP0207,Les Abymes,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:208,208,Morne-à-l'Eau,GP0208,Morne-a-l'Eau,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:209,209,Petit-Canal,GP0209,Petit-Canal,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:210,210,Pointe-à-Pitre,GP0210,Pointe-a-Pitre,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:211,211,Port-Louis,GP0211,Port-Louis,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:212,212,Saint-François,GP0212,Saint-Francois,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:213,213,Saint-Louis,GP0213,Saint-Louis,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:214,214,Sainte-Anne,GP0214,Sainte-Anne,,,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
