qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:312:2:101,101,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:101,Baie-Mahault,GP0101,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:102,102,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:102,Baillif,GP0102,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:103,103,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:103,Basse-Terre,GP0103,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:104,104,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:104,Bouillante,GP0104,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:105,105,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:105,Capesterre-Belle-Eau,GP0105,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:106,106,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:106,Deshaies,GP0106,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:107,107,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:107,Gourbeyre,GP0107,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:108,108,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:108,Goyave,GP0108,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:109,109,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:109,Lamentin,GP0109,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:110,110,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:110,Petit-Bourg,GP0110,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:111,111,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:111,Pointe-Noire,GP0111,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:112,112,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:112,Saint-Claude,GP0112,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:113,113,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:113,Sainte-Rose,GP0113,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:114,114,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:114,Terre-De-Bas,GP0114,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:115,115,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:115,Terre-De-Haut,GP0115,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:116,116,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:116,Trois-Rivières,GP0116,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:117,117,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:117,Vieux-Fort,GP0117,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:118,118,1603:45:16:312:0,1603:45:16:312:1:1,1603:45:16:312:2:118,Vieux-Habitants,GP0118,Basse-Terre,GP01,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:201,201,1603:45:16:312:0,1603:45:16:312:1:2,1603:45:16:312:2:201,Anse-Bertrand,GP0201,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:202,202,1603:45:16:312:0,1603:45:16:312:1:2,1603:45:16:312:2:202,Capesterre-de-Marie-Galante,GP0202,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:203,203,1603:45:16:312:0,1603:45:16:312:1:2,1603:45:16:312:2:203,Grand-Bourg,GP0203,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:204,204,1603:45:16:312:0,1603:45:16:312:1:2,1603:45:16:312:2:204,La Désirade,GP0204,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:205,205,1603:45:16:312:0,1603:45:16:312:1:2,1603:45:16:312:2:205,Le Gosier,GP0205,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:206,206,1603:45:16:312:0,1603:45:16:312:1:2,1603:45:16:312:2:206,Le Moule,GP0206,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:207,207,1603:45:16:312:0,1603:45:16:312:1:2,1603:45:16:312:2:207,Les Abymes,GP0207,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:208,208,1603:45:16:312:0,1603:45:16:312:1:2,1603:45:16:312:2:208,Morne-à-l'Eau,GP0208,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:209,209,1603:45:16:312:0,1603:45:16:312:1:2,1603:45:16:312:2:209,Petit-Canal,GP0209,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:210,210,1603:45:16:312:0,1603:45:16:312:1:2,1603:45:16:312:2:210,Pointe-à-Pitre,GP0210,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:211,211,1603:45:16:312:0,1603:45:16:312:1:2,1603:45:16:312:2:211,Port-Louis,GP0211,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:212,212,1603:45:16:312:0,1603:45:16:312:1:2,1603:45:16:312:2:212,Saint-François,GP0212,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:213,213,1603:45:16:312:0,1603:45:16:312:1:2,1603:45:16:312:2:213,Saint-Louis,GP0213,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
1603:45:16:312:2:214,214,1603:45:16:312:0,1603:45:16:312:1:2,1603:45:16:312:2:214,Sainte-Anne,GP0214,Pointe-à-Pitre,GP02,Guadeloupe,GP,2017-09-07,2019-12-10,
