#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:104:2:4001,4001,1603:45:16:104:0,1603:45:16:104:1:4,1603:45:16:104:2:4001,Falam,ဖလမ်းခရိုင်,MM004D001,,,,,,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:4002,4002,1603:45:16:104:0,1603:45:16:104:1:4,1603:45:16:104:2:4002,Mindat,မင်းတပ်ခရိုင်,MM004D002,,,,,,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:4003,4003,1603:45:16:104:0,1603:45:16:104:1:4,1603:45:16:104:2:4003,Hakha,ဟားခါးခရိုင်,MM004D003,,,,,,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:4004,4004,1603:45:16:104:0,1603:45:16:104:1:4,1603:45:16:104:2:4004,Matupi,မတူပီခရိုင်,MM004D004,,,,,,Chin,ချင်းပြည်နယ်,MM004,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:5001,5001,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5001,Sagaing,စစ်ကိုင်းခရိုင်,MM005D001,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:5002,5002,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5002,Shwebo,ရွှေဘိုခရိုင်,MM005D002,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:5003,5003,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5003,Monywa,မုံရွာခရိုင်,MM005D003,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:5004,5004,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5004,Katha,ကသာခရိုင်,MM005D004,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:5005,5005,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5005,Kale,ကလေးခရိုင်,MM005D005,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:5006,5006,1603:45:16:104:0,1603:45:16:104:1:5,1603:45:16:104:2:5006,Tamu,တမူးခရိုင်,MM005D006,,,,,,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,MM005,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
