#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mya+is_mymr+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:104:2:12004,12004,1603:45:16:104:0,1603:45:16:104:1:12,1603:45:16:104:2:12004,Thandwe,သံတွဲခရိုင်,MM012D004,,,,,,Rakhine,ရခိုင်ပြည်နယ်,MM012,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:12005,12005,1603:45:16:104:0,1603:45:16:104:1:12,1603:45:16:104:2:12005,Mrauk-U,မြောက်ဦးခရိုင်,MM012D005,,,,,,Rakhine,ရခိုင်ပြည်နယ်,MM012,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:13001,13001,1603:45:16:104:0,1603:45:16:104:1:13,1603:45:16:104:2:13001,Yangon (North),ရန်ကုန်(မြောက်ပိုင်း),MM013D001,,,,,,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,MM013,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:13002,13002,1603:45:16:104:0,1603:45:16:104:1:13,1603:45:16:104:2:13002,Yangon (East),ရန်ကုန်(အရှေ့ပိုင်း),MM013D002,,,,,,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,MM013,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:13003,13003,1603:45:16:104:0,1603:45:16:104:1:13,1603:45:16:104:2:13003,Yangon (South),ရန်ကုန်(တောင်ပိုင်း),MM013D003,,,,,,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,MM013,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:13004,13004,1603:45:16:104:0,1603:45:16:104:1:13,1603:45:16:104:2:13004,Yangon (West),ရန်ကုန်(အနောက်ပိုင်း),MM013D004,,,,,,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,MM013,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:14001,14001,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:14001,Taunggyi,တောင်ကြီးခရိုင်,MM014D001,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:14002,14002,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:14002,Loilen,လွိုင်လင်ခရိုင်,MM014D002,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:14003,14003,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:14003,Langkho,လင်းခေးခရိုင်,MM014D003,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:14001,14001,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:14001,Danu Self-Administered Zone,ဓနု ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM014S001,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:14002,14002,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:14002,Pa-O Self-Administered Zone,ပအိုဝ်း ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM014S002,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:15001,15001,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:15001,Lashio,လားရှိုးခရိုင်,MM015D001,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:15002,15002,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:15002,Muse,မူဆယ်ခရိုင်,MM015D002,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:15003,15003,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:15003,Kyaukme,ကျောက်မဲခရိုင်,MM015D003,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:15006,15006,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:15006,Hopang,ဟိုပန်ခရိုင်,MM015D006,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:15007,15007,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:15007,Matman,မက်မန်းခရိုင်,MM015D007,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:15008,15008,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:15008,Mongmit,မိုးမိတ်ခရိုင်,MM015D008,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:15001,15001,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:15001,Pa Laung Self-Administered Zone,ပလောင် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM015S001,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:15002,15002,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:15002,Kokang Self-Administered Zone,ကိုးကန့် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသကိုးကန့် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,MM015S002,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:16001,16001,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:16001,Kengtung,ကျိုင်းတုံခရိုင်,MM016D001,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:16002,16002,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:16002,Monghsat,မိုင်းဆတ်ခရိုင်,MM016D002,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:16003,16003,1603:45:16:104:0,1603:45:16:104:1:222,1603:45:16:104:2:16003,Tachileik,တာချီလိတ်ခရိုင်,MM016D003,,,,,,Shan,ရှမ်းပြည်နယ်,MM222,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:17001,17001,1603:45:16:104:0,1603:45:16:104:1:17,1603:45:16:104:2:17001,Pathein,ပုသိမ်ခရိုင်,MM017D001,,,,,,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MM017,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:17002,17002,1603:45:16:104:0,1603:45:16:104:1:17,1603:45:16:104:2:17002,Hinthada,ဟင်္သာတခရိုင်,MM017D002,,,,,,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MM017,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:17003,17003,1603:45:16:104:0,1603:45:16:104:1:17,1603:45:16:104:2:17003,Myaungmya,မြောင်းမြခရိုင်,MM017D003,,,,,,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MM017,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:17004,17004,1603:45:16:104:0,1603:45:16:104:1:17,1603:45:16:104:2:17004,Labutta,လပွတ္တာခရိုင်,MM017D004,,,,,,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MM017,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:17005,17005,1603:45:16:104:0,1603:45:16:104:1:17,1603:45:16:104:2:17005,Maubin,မအူပင်ခရိုင်,MM017D005,,,,,,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MM017,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:17006,17006,1603:45:16:104:0,1603:45:16:104:1:17,1603:45:16:104:2:17006,Pyapon,ဖျာပုံခရိုင်,MM017D006,,,,,,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MM017,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:18001,18001,1603:45:16:104:0,1603:45:16:104:1:18,1603:45:16:104:2:18001,Oke Ta Ra,ဥတ္တရခရိုင်,MM018D001,,,,,,Nay Pyi Taw,နေပြည်တော်,MM018,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
1603:45:16:104:2:18002,18002,1603:45:16:104:0,1603:45:16:104:1:18,1603:45:16:104:2:18002,Det Khi Na,ဒက္ခိဏခရိုင်,MM018D002,,,,,,Nay Pyi Taw,နေပြည်တော်,MM018,Myanmar,ပြည်ထောင်စု သမ္မတ မြန်မာနိုင်ငံတော်‌,MM,2021-05-31,2021-08-04,
