#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_sin+is_sinh,#adm2+name+i_tam+is_taml,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_sin+is_sinh,#adm2+name+alt2+i_sin+is_sinh,#adm2+name+alt1+i_tam+is_taml,#adm2+name+alt2+i_tam+is_taml,#adm1+name+i_eng+is_latn,#adm1+name+i_sin+is_sinh,#adm1+name+i_tam+is_taml,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_sin+is_sinh,#country+name+i_tam+is_taml,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:144:2:11,11,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:11,Colombo,කොළඹ දිස්ත්‍රික්කය,கொழும்பு மாவட்டம்,LK11,,,,,,,,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:12,12,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:12,Gampaha,ගම්පහ දිස්ත්‍රික්කය,கம்பஹா மாவட்டம்,LK12,,,,,,,,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:13,13,1603:45:16:144:0,1603:45:16:144:1:1,1603:45:16:144:2:13,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,,,,,,,,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:21,21,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,,,,,,,,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:22,22,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:22,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,,,,,,,,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:23,23,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:23,Nuwara Eliya,නුවරඑළිය දිස්ත්‍රික්කය,நுவரேலியா மாவட்டம்,LK23,,,,,,,,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:31,31,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,,,,,,,,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:32,32,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:32,Matara,මාතර දිස්ත්‍රික්කය,மாத்தறை மாவட்டம்,LK32,,,,,,,,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:33,33,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:33,Hambantota,හම්බන්තොට දිස්ත්‍රික්කය,அம்பாந்தோட்டை மாவட்டம்,LK33,,,,,,,,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:41,41,1603:45:16:144:0,1603:45:16:144:1:4,1603:45:16:144:2:41,Jaffna,යාපනය දිස්ත්‍රික්කය,யாழ்ப்பாணம் மாவட்டம் ,LK41,,,,,,,,Northern,උතුරු පළාත,வட மாகாணம்,LK4,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:42,42,1603:45:16:144:0,1603:45:16:144:1:4,1603:45:16:144:2:42,Mannar,මන්නාරම දිස්ත්‍රික්කය,மன்னார் மாவட்டம்,LK42,,,,,,,,Northern,උතුරු පළාත,வட மாகாணம்,LK4,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:43,43,1603:45:16:144:0,1603:45:16:144:1:4,1603:45:16:144:2:43,Vavuniya,වවුනියා දිස්ත්‍රික්කය,வவுனியா மாவட்டம்,LK43,,,,,,,,Northern,උතුරු පළාත,வட மாகாணம்,LK4,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:44,44,1603:45:16:144:0,1603:45:16:144:1:4,1603:45:16:144:2:44,Mullaitivu,මුලතිවු දිස්ත්‍රික්කය,முல்லைத்தீவு மாவட்டம்,LK44,,,,,,,,Northern,උතුරු පළාත,வட மாகாணம்,LK4,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:45,45,1603:45:16:144:0,1603:45:16:144:1:4,1603:45:16:144:2:45,Kilinochchi,කිලිනොච්චි දිස්ත්‍රික්කය,கிளிநொச்சி மாவட்டம்,LK45,,,,,,,,Northern,උතුරු පළාත,வட மாகாணம்,LK4,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:51,51,1603:45:16:144:0,1603:45:16:144:1:5,1603:45:16:144:2:51,Batticaloa,මඩකලපුව දිස්ත්‍රික්කය,மட்டக்களப்பு மாவட்டம்,LK51,,,,,,,,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:52,52,1603:45:16:144:0,1603:45:16:144:1:5,1603:45:16:144:2:52,Ampara,අම්පාර දිස්ත්‍රික්කය,அம்பாறை மாவட்டம்,LK52,,,,,,,,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:53,53,1603:45:16:144:0,1603:45:16:144:1:5,1603:45:16:144:2:53,Trincomalee,ත්‍රිකුණාමළය දිස්ත්‍රික්කය,திருகோணமலை மாவட்டம்,LK53,,,,,,,,Eastern,නැගෙනහිර පළාත,கிழக்கு மாகாணம்,LK5,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:60,60,1603:45:16:144:0,1603:45:16:144:1:6,1603:45:16:144:2:60,[unknown],[unknown],[unknoபுத்தளம் மாவட்டம்wn],LK60,,,,,,,,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:61,61,1603:45:16:144:0,1603:45:16:144:1:6,1603:45:16:144:2:61,Kurunegala,කුරුණෑගල දිස්ත්‍රික්කය,குருநாகல் மாவட்டம்,LK61,,,,,,,,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:62,62,1603:45:16:144:0,1603:45:16:144:1:6,1603:45:16:144:2:62,Puttalam,පුත්තලම දිස්ත්‍රික්කය,புத்தளம் மாவட்டம்,LK62,,,,,,,,North Western,වයඹ පළාත,வட மேல் மாகாணம்,LK6,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:71,71,1603:45:16:144:0,1603:45:16:144:1:7,1603:45:16:144:2:71,Anuradhapura,අනුරාධපුර දිස්ත්‍රික්කය,அனுராதபுரம் மாவட்டம்,LK71,,,,,,,,North Central,උතුරු මැද පළාත,வட மத்திய மாகாணம்,LK7,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:72,72,1603:45:16:144:0,1603:45:16:144:1:7,1603:45:16:144:2:72,Polonnaruwa,පොළොන්නරුව දිස්ත්‍රික්කය,பொலன்னறுவை மாவட்டம்,LK72,,,,,,,,North Central,උතුරු මැද පළාත,வட மத்திய மாகாணம்,LK7,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:81,81,1603:45:16:144:0,1603:45:16:144:1:8,1603:45:16:144:2:81,Badulla,බදුල්ල දිස්ත්‍රික්කය,பதுளை மாவட்டம்,LK81,,,,,,,,Uva,ඌව පළාත,ஊவா மாகாணம்,LK8,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:82,82,1603:45:16:144:0,1603:45:16:144:1:8,1603:45:16:144:2:82,Monaragala,මොණරාගල දිස්ත්‍රික්කය,மொணராகலை மாவட்டம்,LK82,,,,,,,,Uva,ඌව පළාත,ஊவா மாகாணம்,LK8,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:91,91,1603:45:16:144:0,1603:45:16:144:1:9,1603:45:16:144:2:91,Ratnapura,රත්නපුර දිස්ත්‍රික්කය,இரத்தினபுரம் மாவட்டம்,LK91,,,,,,,,Sabaragamuwa,සබරගමුව පළාත,சபரகமுவ மாகாணம்,LK9,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:2:92,92,1603:45:16:144:0,1603:45:16:144:1:9,1603:45:16:144:2:92,Kegalle,කෑගල්ල දිස්ත්‍රික්කය,கேகாலை மாவட்டம்,LK92,,,,,,,,Sabaragamuwa,සබරගමුව පළාත,சபரகமுவ மாகாணம்,LK9,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
