qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:140:2:111,111,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:111,Bimbo,CF111,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:112,112,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:112,Damara,CF112,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:113,113,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:113,Bogangolo,CF113,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:114,114,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:114,Boali,CF114,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:115,115,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:115,Bossembélé,CF115,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:116,116,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:116,Yaloké,CF116,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:121,121,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:121,Mbaïki,CF121,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:122,122,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:122,Mongoumba,CF122,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:123,123,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:123,Boda,CF123,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:124,124,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:124,Boganangone,CF124,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
