#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:140:2:111,111,Bimbo,CF111,Bimbo,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:112,112,Damara,CF112,Damara,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:113,113,Bogangolo,CF113,Bogangolo,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:114,114,Boali,CF114,Boali,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:115,115,Bossembélé,CF115,Bossembele,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:116,116,Yaloké,CF116,Yaloke,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:121,121,Mbaïki,CF121,Mbaiki,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:122,122,Mongoumba,CF122,Mongoumba,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:123,123,Boda,CF123,Boda,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:124,124,Boganangone,CF124,Boganangone,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:125,125,Boganda,CF125,Boganda,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:211,211,Berbérati,CF211,Berberati,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2020-12-01,
