#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:140:2:111,111,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:111,Bimbo,CF111,Bimbo,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:112,112,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:112,Damara,CF112,Damara,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:113,113,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:113,Bogangolo,CF113,Bogangolo,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:114,114,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:114,Boali,CF114,Boali,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:115,115,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:115,Bossembélé,CF115,Bossembele,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:116,116,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:116,Yaloké,CF116,Yaloke,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:121,121,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:121,Mbaïki,CF121,Mbaiki,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:122,122,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:122,Mongoumba,CF122,Mongoumba,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:123,123,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:123,Boda,CF123,Boda,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:2:124,124,1603:45:16:140:0,1603:45:16:140:1:12,1603:45:16:140:2:124,Boganangone,CF124,Boganangone,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2020-12-01,
